,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,area,No_of_Bedrooms,No_of_servant_rooms,type,size,studio_apartment
858,580000,2,2,Serviced Residence,Built-up : 872 sq. ft.,Partly Furnished,Dutamas,2,1,Built-up ,872,0
859,7043750,5,4,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished,Bangsar,3,1,Built-up ,4025,0
860,2500000,3,2,3-sty Terrace/Link House (EndLot),"Built-up : 3,218 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,3218,0
861,1100000,3,2,Condominium (Intermediate),"Built-up : 1,378 sq. ft.",Fully Furnished,Desa ParkCity,2,1,Built-up ,1378,0
862,1100000,1,2,Condominium (Intermediate),"Built-up : 1,034 sq. ft.",Partly Furnished,Desa ParkCity,2,0,Built-up ,1034,0
863,2750000,4,3,3-sty Terrace/Link House,"Built-up : 3,211 sq. ft.",Unfurnished,Desa ParkCity,3,1,Built-up ,3211,0
864,1990000,4,2,2-sty Terrace/Link House,"Built-up : 2,530 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,2530,0
865,1380000,3,2,Condominium,"Built-up : 1,572 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1572,0
866,1100000,4,2,Condominium,"Built-up : 1,788 sq. ft.",Partly Furnished,Segambut,3,1,Built-up ,1788,0
867,820000,2,2,Condominium,"Built-up : 1,319 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1319,0
868,430000,2,1,Serviced Residence,Built-up : 775 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),1,0,Built-up ,775,0
869,650000,1,1,Serviced Residence (Intermediate),Built-up : 633 sq. ft.,Fully Furnished,Mont Kiara,1,0,Built-up ,633,0
870,998000,2,1,Serviced Residence (Corner),Built-up : 926 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,926,0
871,480000,2,2,Serviced Residence (Intermediate),"Built-up : 1,009 sq. ft.",Fully Furnished,Setapak,3,0,Built-up ,1009,0
872,628000,2,2,Serviced Residence,Built-up : 814 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,814,0
873,2413375,5,2,Condominium (Corner),"Built-up : 2,245 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2245,0
874,2357250,5,2,Condominium (Corner),"Built-up : 2,245 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2245,0
875,2715300,6,2,Condominium (Corner),"Built-up : 2,586 sq. ft.",Partly Furnished,KLCC,4,1,Built-up ,2586,0
876,1000000,1,1,Serviced Residence (Corner),Built-up : 915 sq. ft.,Fully Furnished,KLCC,1,1,Built-up ,915,0
877,1435000,4,2,Condominium (Corner),"Built-up : 1,668 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,1668,0
878,1155600,4,2,Condominium (Corner),"Built-up : 1,974 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1974,0
879,2700000,5,2,Condominium (Corner),"Built-up : 2,615 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2615,0
880,2200000,5,3,Condominium (Corner),"Built-up : 3,109 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,3109,0
881,780000,2,1,Condominium,"Built-up : 1,071 sq. ft.",Fully Furnished,Mont Kiara,2,0,Built-up ,1071,0
882,420000,2,1,Serviced Residence (Intermediate),"Built-up : 1,020 sq. ft.",Unfurnished,Jalan Ipoh,3,0,Built-up ,1020,0
883,1035000,5,2,Condominium (Corner),"Built-up : 1,853 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1853,0
884,1046100,4,2,Condominium (Corner),"Built-up : 1,876 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1876,0
885,2000000,3,2,Condominium,"Built-up : 1,808 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,1808,0
886,1210000,3,2,Condominium,"Built-up : 1,668 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,1668,0
887,298000,2,1,Apartment (Intermediate),Built-up : 896 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,896,0
888,680000,1,1,Serviced Residence (Corner),Built-up : 672 sq. ft.,Fully Furnished,Mont Kiara,1,0,Built-up ,672,0
889,1300000,2,1,Serviced Residence,Built-up : 793 sq. ft.,Fully Furnished,KLCC,2,0,Built-up ,793,0
890,700000,2,1,Condominium,Built-up : 704 sq. ft.,Fully Furnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,704,0
891,600000,2,2,Serviced Residence (Intermediate),"Built-up : 1,025 sq. ft.",Partly Furnished,Sungai Besi,2,1,Built-up ,1025,0
892,1500000,3,2,Condominium (Corner),"Built-up : 1,850 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1850,0
893,1550000,3,2,Condominium (Corner),"Built-up : 1,850 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1850,0
894,1350000,3,2,Condominium (Intermediate),"Built-up : 1,701 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,1701,0
895,890000,1,2,Condominium (Intermediate),Built-up : 969 sq. ft.,Fully Furnished,Desa ParkCity,2,0,Built-up ,969,0
896,365000,2,1,Serviced Residence,Built-up : 807 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,807,0
897,630000,2,1,Condominium,Built-up : 738 sq. ft.,Partly Furnished,Sentul,2,0,Built-up ,738,0
898,1320000,3,2,Condominium (Intermediate),"Built-up : 1,572 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1572,0
899,1080000,2,2,Condominium (Intermediate),"Built-up : 1,389 sq. ft.",Partly Furnished,Desa ParkCity,3,0,Built-up ,1389,0
900,1450000,3,2,Condominium,"Built-up : 1,680 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1680,0
901,490000,2,1,Condominium (Intermediate),Built-up : 930 sq. ft.,Partly Furnished,Kepong,3,0,Built-up ,930,0
902,320000,2,2,Townhouse (Intermediate),"Built-up : 1,200 sq. ft.",Unfurnished,Cheras,3,0,Built-up ,1200,0
903,385000,2,1,Serviced Residence (Intermediate),Built-up : 819 sq. ft.,Partly Furnished,Cheras,3,0,Built-up ,819,0
904,2850000,5,3,3-sty Terrace/Link House (Intermediate),"Built-up : 3,211 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,3211,0
905,2500000,5,2,3-sty Terrace/Link House (Intermediate),"Built-up : 3,400 sq. ft.",Fully Furnished,Desa ParkCity,4,1,Built-up ,3400,0
906,800000,2,2,Serviced Residence,"Built-up : 1,170 sq. ft.",Fully Furnished,Bukit Jalil,3,0,Built-up ,1170,0
907,298888,2,1,Serviced Residence,Built-up : 650 sq. ft.,Partly Furnished,Cheras,2,0,Built-up ,650,0
908,1530000,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1496,0
909,425000,2,2,Serviced Residence (Intermediate),Land area : 918 sq. ft.,Unfurnished,Setapak,3,1,Land area ,918,0
910,2150000,4,2,Condominium (Corner),"Built-up : 1,808 sq. ft.",Unfurnished,Desa ParkCity,3,1,Built-up ,1808,0
911,700000,3,2,Townhouse (Intermediate),Land area : 1200 sq. ft.,Partly Furnished,Jalan Ipoh,4,0,Land area ,1200,0
912,2000000,2,1,Serviced Residence,"Built-up : 1,442 sq. ft.",Fully Furnished,City Centre,2,0,Built-up ,1442,0
913,2300000,5,2,Serviced Residence,"Built-up : 2,208 sq. ft.",Partly Furnished,KLCC,5,0,Built-up ,2208,0
914,2999000,2,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished,KLCC,2,1,Built-up ,1668,0
915,950000,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished,Kepong,5,0,Land area ,1650,0
916,375000,2,1,Apartment (Intermediate),"Built-up : 1,023 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1023,0
917,380000,2,1,Serviced Residence,Built-up : 775 sq. ft.,Fully Furnished,Jalan Klang Lama (Old Klang Road),1,0,Built-up ,775,0
918,1130000,4,2,Condominium (Corner),"Built-up : 1,788 sq. ft.",Partly Furnished,Segambut,3,1,Built-up ,1788,0
919,850000,2,2,Condominium (Corner),"Built-up : 1,306 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1306,0
920,880000,2,3,Condominium (Corner),"Built-up : 1,306 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1306,0
921,999999,3,3,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,0,Built-up ,1513,0
922,240000,1,1,Apartment (Intermediate),Built-up : 653 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,653,0
923,248000,2,1,Condominium (Intermediate),Built-up : 850 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,850,0
924,330000,2,2,Condominium (Intermediate),Built-up : 931 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,931,0
925,298000,2,1,Condominium (Corner),Built-up : 931 sq. ft.,Unfurnished,Setapak,3,0,Built-up ,931,0
926,390000,2,1,2.5-sty Terrace/Link House (Intermediate),Land area : 800 sq. ft.,Unfurnished,Wangsa Maju,3,0,Land area ,800,0
927,883000,2,1,Condominium,Built-up : 876 sq. ft.,Fully Furnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,876,0
928,8070240,6,5,Condominium,"Built-up : 4,945 sq. ft.",Partly Furnished,Bangsar,4,1,Built-up ,4945,0
929,17000000,8,6,Bungalow,Land area : 16500 sq. ft.,Partly Furnished,Bukit Tunku (Kenny Hills),4,2,Land area ,16500,0
930,14800000,8,8,Bungalow,Land area : 11981 sq. ft.,Partly Furnished,Bukit Tunku (Kenny Hills),7,1,Land area ,11981,0
931,17000000,9,5,Bungalow (Intermediate),Land area : 26920 sq. ft.,Partly Furnished,Bukit Tunku (Kenny Hills),6,1,Land area ,26920,0
932,415000,1,1,Serviced Residence (Intermediate),Built-up : 578 sq. ft.,Partly Furnished,Taman Desa,1,0,Built-up ,578,0
933,990000,4,2,Condominium (Corner),"Built-up : 1,782 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1782,0
934,525000,1,1,Condominium (Intermediate),Built-up : 606 sq. ft.,Partly Furnished,Ampang,1,0,Built-up ,606,0
935,2000000,5,3,Condominium (Corner),"Built-up : 2,411 sq. ft.",Fully Furnished,Mont Kiara,3,2,Built-up ,2411,0
936,1650000,4,2,Condominium (Corner),"Built-up : 1,878 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1878,0
937,2300000,6,3,Condominium (Corner),"Built-up : 2,874 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2874,0
938,6441600,4,2,Condominium (Corner),"Built-up : 2,013 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2013,0
939,1200000,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished,Mont Kiara,3,0,Built-up ,1200,0
940,1475000,4,2,Condominium (Corner),"Built-up : 1,496 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1496,0
941,1850000,4,2,Condominium (Corner),"Built-up : 2,038 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,2038,0
942,2000000,6,2,Condominium (Corner),"Built-up : 2,315 sq. ft.",Partly Furnished,KLCC,4,1,Built-up ,2315,0
943,1731000,4,2,Condominium (Corner),"Built-up : 1,668 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1668,0
944,2800000,6,3,Condominium (Corner),"Built-up : 3,714 sq. ft.",Partly Furnished,Mont Kiara,4,2,Built-up ,3714,0
945,825000,2,1,Condominium (Intermediate),"Built-up : 1,115 sq. ft.",Partly Furnished,Sentul,2,1,Built-up ,1115,0
946,500000,2,2,Condominium,"Built-up : 1,522 sq. ft.",Partly Furnished,Setapak,4,0,Built-up ,1522,0
947,580000,2,2,Condominium,"Built-up : 1,098 sq. ft.",Partly Furnished,Setapak,2,1,Built-up ,1098,0
948,230000,2,1,Condominium,Built-up : 832 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,832,0
949,265000,2,1,Apartment (Intermediate),Built-up : 830 sq. ft.,Partly Furnished,Desa Petaling,3,0,Built-up ,830,0
950,425000,1,1,Serviced Residence (Intermediate),Built-up : 572 sq. ft.,Partly Furnished,Taman Desa,1,0,Built-up ,572,0
951,528000,2,1,Serviced Residence (Intermediate),Built-up : 715 sq. ft.,Partly Furnished,Taman Desa,2,0,Built-up ,715,0
952,368000,2,1,Condominium (Intermediate),"Built-up : 1,140 sq. ft.",Partly Furnished,Cheras,3,0,Built-up ,1140,0
953,1180000,3,1,Condominium (Intermediate),"Built-up : 1,806 sq. ft.",Fully Furnished,City Centre,3,1,Built-up ,1806,0
954,525000,3,2,Condominium (Intermediate),"Built-up : 1,003 sq. ft.",Unfurnished,Bukit Jalil,3,0,Built-up ,1003,0
955,3000000,5,4,Semi-detached House (Intermediate),Land area : 4500 sq. ft.,Fully Furnished,Sri Hartamas,5,1,Land area ,4500,0
956,2950000,5,4,Semi-detached House (Intermediate),Land area : 4000 sq. ft.,Fully Furnished,Sri Hartamas,5,1,Land area ,4000,0
957,820000,2,2,Condominium (Intermediate),"Built-up : 1,319 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1319,0
958,830000,2,2,Condominium (Intermediate),"Built-up : 1,319 sq. ft.",Partly Furnished,Segambut,3,0,Built-up ,1319,0
959,1950000,6,5,3-sty Terrace/Link House (Intermediate),Land area : 2239 sq. ft.,Unfurnished,Segambut,5,1,Land area ,2239,0
960,1300000,3,2,Condominium,"Built-up : 1,593 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1593,0
961,750000,2,2,Condominium,"Built-up : 1,590 sq. ft.",Partly Furnished,Jalan Kuching,3,1,Built-up ,1590,0
962,1490000,2,2,Townhouse (Intermediate),"Built-up : 2,250 sq. ft.",Fully Furnished,Bangsar,3,0,Built-up ,2250,0
963,1550000,3,2,Townhouse (Intermediate),"Built-up : 2,400 sq. ft.",Partly Furnished,Bangsar,4,0,Built-up ,2400,0
964,5500000,5,4,Bungalow (Corner),Land area : 9300 sq. ft.,Partly Furnished,Bangsar,5,0,Land area ,9300,0
965,780000,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Fully Furnished,Bangsar,2,1,Built-up ,1200,0
966,880000,3,1,Condominium (Corner),"Built-up : 1,350 sq. ft.",Fully Furnished,Bangsar,2,2,Built-up ,1350,0
967,3500000,5,3,Condominium (Corner),"Built-up : 3,720 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3720,0
968,3300000,5,3,Condominium (Corner),"Built-up : 3,720 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3720,0
969,2890000,5,3,Condominium (Corner),"Built-up : 3,478 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,3478,0
970,860000,3,1,Condominium (Intermediate),"Built-up : 1,240 sq. ft.",Partly Furnished,Mont Kiara,2,0,Built-up ,1240,0
971,2500000,3,2,Condominium,"Built-up : 3,137 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,3137,0
972,710000,1,1,Serviced Residence (Intermediate),Built-up : 633 sq. ft.,Fully Furnished,Mont Kiara,1,0,Built-up ,633,0
973,950000,2,2,Serviced Residence (Corner),"Built-up : 1,583 sq. ft.",Partly Furnished,Mont Kiara,2,0,Built-up ,1583,0
974,1150000,2,1,Serviced Residence (Intermediate),"Built-up : 1,000 sq. ft.",Partly Furnished,Mont Kiara,2,0,Built-up ,1000,0
975,500000,2,2,Condominium (Intermediate),"Built-up : 1,313 sq. ft.",Unfurnished,Setapak,4,0,Built-up ,1313,0
976,2650000,6,4,Bungalow (Corner),Land area : 3068 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),5,2,Land area ,3068,0
977,1000000,2,1,Serviced Residence,Built-up : 999 sq. ft.,Fully Furnished,Damansara Heights,1,0,Built-up ,999,0
978,600000,4,2,Serviced Residence (Intermediate),"Built-up : 1,281 sq. ft.",Partly Furnished,Setapak,3,0,Built-up ,1281,0
979,780000,2,2,Condominium,"Built-up : 1,399 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1399,0
980,585000,2,1,Serviced Residence (Intermediate),Built-up : 990 sq. ft.,Fully Furnished,Ampang Hilir,2,0,Built-up ,990,0
981,650000,2,1,Condominium (Intermediate),"Built-up : 1,067 sq. ft.",Fully Furnished,Seputeh,2,0,Built-up ,1067,0
982,4950000,5,4,Bungalow,Land area : 6800 sq. ft.,Partly Furnished,Bangsar,5,1,Land area ,6800,0
983,5800000,5,5,Bungalow (Intermediate),Land area : 10000 sq. ft.,Partly Furnished,Bangsar,5,2,Land area ,10000,0
984,5750000,4,5,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,Bangsar,5,0,Land area ,7200,0
985,780000,2,1,Condominium (Corner),"Built-up : 1,253 sq. ft.",Unfurnished,Dutamas,3,0,Built-up ,1253,0
986,1250000,4,2,Condominium,"Built-up : 1,680 sq. ft.",Partly Furnished,Setapak,3,1,Built-up ,1680,0
987,1700000,3,3,Condominium,"Built-up : 2,638 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),4,0,Built-up ,2638,0
988,700000,2,2,Condominium,"Built-up : 1,073 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),4,0,Built-up ,1073,0
989,910000,2,2,Serviced Residence,"Built-up : 1,218 sq. ft.",Fully Furnished,Bukit Jalil,3,0,Built-up ,1218,0
990,1550000,4,3,Condominium,"Built-up : 1,798 sq. ft.",Unfurnished,Desa ParkCity,3,0,Built-up ,1798,0
991,1250000,4,2,Condominium,"Built-up : 1,540 sq. ft.",Unfurnished,Desa ParkCity,3,0,Built-up ,1540,0
992,1300000,2,2,Condominium,"Built-up : 1,454 sq. ft.",Unfurnished,Desa ParkCity,3,0,Built-up ,1454,0
993,930000,2,2,Condominium,"Built-up : 1,077 sq. ft.",Unfurnished,Desa ParkCity,2,0,Built-up ,1077,0
994,2300000,4,2,Serviced Residence (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,3000,0
995,2000000,3,3,Serviced Residence (Penthouse),"Built-up : 2,563 sq. ft.",Partly Furnished,Bukit Jalil,4,0,Built-up ,2563,0
996,920000,3,2,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,3,1,Built-up ,1513,0
997,620000,2,1,Condominium,"Built-up : 1,290 sq. ft.",Partly Furnished,Seputeh,3,0,Built-up ,1290,0
998,818000,3,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,1578,0
999,650000,1,1,Serviced Residence,Built-up : 450 sq. ft.,Partly Furnished,KLCC,1,0,Built-up ,450,0
1000,628000,2,2,Serviced Residence,Built-up : 909 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,909,0
1001,550000,2,1,Serviced Residence,Built-up : 680 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,680,0
1002,668000,2,1,Serviced Residence,"Built-up : 1,202 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,1202,0
1003,900000,4,3,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
1004,1998000,4,3,Serviced Residence,"Built-up : 2,563 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,2563,0
1005,1438000,4,3,Condominium,"Built-up : 2,378 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),3,2,Built-up ,2378,0
1006,928000,3,2,Condominium,"Built-up : 1,523 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),2,1,Built-up ,1523,0
1007,1700000,4,2,Condominium,"Built-up : 2,065 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2065,0
1008,530000,2,1,Condominium (Intermediate),"Built-up : 1,103 sq. ft.",Partly Furnished,Sungai Besi,3,0,Built-up ,1103,0
1009,330000,2,1,Condominium (Intermediate),Built-up : 960 sq. ft.,Unfurnished,Cheras,3,0,Built-up ,960,0
1010,800000,2,2,Serviced Residence (Intermediate),"Built-up : 1,170 sq. ft.",Fully Furnished,Bukit Jalil,3,0,Built-up ,1170,0
1011,530000,3,2,Condominium (Intermediate),"Built-up : 1,003 sq. ft.",Partly Furnished,Bukit Jalil,3,0,Built-up ,1003,0
1012,318000,2,1,Condominium,Built-up : 970 sq. ft.,Partly Furnished,Cheras,2,0,Built-up ,970,0
1013,725000,4,3,Serviced Residence (Intermediate),"Built-up : 1,705 sq. ft.",Unfurnished,Taman Melawati,4,0,Built-up ,1705,0
1014,289000,2,1,Apartment (Intermediate),Built-up : 728 sq. ft.,Partly Furnished,Cheras,3,0,Built-up ,728,0
1015,575000,2,3,Condominium (Intermediate),"Built-up : 1,044 sq. ft.",Fully Furnished,Sungai Besi,3,0,Built-up ,1044,0
1016,318000,2,1,Condominium (Corner),Built-up : 903 sq. ft.,Partly Furnished,Cheras,3,1,Built-up ,903,0
1017,720000,3,2,Condominium (Intermediate),"Built-up : 1,356 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1356,0
1018,795000,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1760 sq. ft.,Unfurnished,Sri Petaling,4,0,Land area ,1760,0
1019,790000,1,1,Serviced Residence (Intermediate),Built-up : 650 sq. ft.,Partly Furnished,KL Sentral,1,0,Built-up ,650,0
1020,1710000,4,2,Condominium (Corner),"Built-up : 2,065 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2065,0
1021,1120000,3,2,Serviced Residence (Corner),"Built-up : 1,025 sq. ft.",Partly Furnished,KL Sentral,3,0,Built-up ,1025,0
1022,1550000,4,2,Condominium (Corner),"Built-up : 1,603 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1603,0
1023,1225000,3,2,Condominium (Intermediate),"Built-up : 1,756 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,1756,0
1024,490000,2,2,Condominium,"Built-up : 1,220 sq. ft.",Fully Furnished,Cheras,3,0,Built-up ,1220,0
1025,11800000,8,4,Bungalow (Intermediate),Land area : 8622 sq. ft.,Partly Furnished,Country Heights Damansara,7,0,Land area ,8622,0
1026,275000,2,1,Condominium (Intermediate),Built-up : 973 sq. ft.,Unfurnished,Sentul,3,0,Built-up ,973,0
1027,400000,2,2,Condominium (Corner),Land area : 1175 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Land area ,1175,0
1028,408000,2,1,Apartment (Intermediate),Built-up : 952 sq. ft.,Partly Furnished,Bukit Jalil,3,0,Built-up ,952,0
1029,430000,2,1,Apartment (Corner),"Built-up : 1,048 sq. ft.",Fully Furnished,Bukit Jalil,3,0,Built-up ,1048,0
1030,399000,1,1,Serviced Residence (Intermediate),Built-up : 502 sq. ft.,Partly Furnished,Ampang,0,0,Built-up ,502,1
1031,390000,2,1,Serviced Residence (Intermediate),Built-up : 935 sq. ft.,Partly Furnished,Kuchai Lama,3,0,Built-up ,935,0
1032,12000000,8,6,Bungalow,Land area : 10345 sq. ft.,Unfurnished,Dutamas,7,0,Land area ,10345,0
1033,8300000,6,4,Bungalow,Land area : 6900 sq. ft.,Partly Furnished,Desa ParkCity,5,0,Land area ,6900,0
1034,11000000,7,4,Bungalow,Land area : 9826 sq. ft.,Unfurnished,Dutamas,7,0,Land area ,9826,0
1035,1668000,4,2,Condominium,"Built-up : 1,668 sq. ft.",Partly Furnished,Mont Kiara,4,0,Built-up ,1668,0
1036,1850000,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,2,Built-up ,1830,0
1037,1280000,3,2,Condominium (Intermediate),"Built-up : 1,668 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1668,0
1038,850000,2,2,Condominium (Intermediate),"Built-up : 1,238 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1238,0
1039,820000,2,1,Condominium (Intermediate),"Built-up : 1,241 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1241,0
1040,720000,2,2,Condominium (Corner),"Built-up : 1,019 sq. ft.",Fully Furnished,Pantai,3,0,Built-up ,1019,0
1041,400000,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished,Jalan Kuching,3,0,Built-up ,1100,0
1042,300000,2,1,Condominium,Built-up : 905 sq. ft.,Partly Furnished,Kuchai Lama,3,0,Built-up ,905,0
1043,1110000,5,2,Condominium (Corner),"Built-up : 1,875 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1875,0
1044,268000,2,1,Flat (Intermediate),Built-up : 861 sq. ft.,Partly Furnished,Kepong,3,0,Built-up ,861,0
1045,3000,1,1,Condominium (Intermediate),Built-up : 538 sq. ft.,Fully Furnished,Bukit Bintang,1,0,Built-up ,538,0
1046,770000,1,1,Condominium (Intermediate),Built-up : 527 sq. ft.,Fully Furnished,Bukit Bintang,1,0,Built-up ,527,0
1047,755000,1,1,Condominium (Intermediate),Built-up : 527 sq. ft.,Fully Furnished,Bukit Bintang,1,0,Built-up ,527,0
1048,810000,1,1,Condominium (Intermediate),Built-up : 538 sq. ft.,Fully Furnished,Bukit Bintang,1,0,Built-up ,538,0
1049,2100000,4,1,Serviced Residence,"Built-up : 1,485 sq. ft.",Fully Furnished,KL Sentral,2,1,Built-up ,1485,0
1050,1550000,4,2,Serviced Residence (Corner),"Built-up : 1,539 sq. ft.",Fully Furnished,Desa Pandan,3,1,Built-up ,1539,0
1051,700000,2,2,Serviced Residence (Intermediate),Built-up : 913 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,913,0
1052,1318350,3,2,Condominium,"Built-up : 1,668 sq. ft.",Partly Furnished,Wangsa Maju,3,1,Built-up ,1668,0
1053,900000,3,2,Condominium,"Built-up : 1,529 sq. ft.",Partly Furnished,Wangsa Maju,3,1,Built-up ,1529,0
1054,628000,2,2,Serviced Residence (Intermediate),Built-up : 791 sq. ft.,Partly Furnished,Bukit Jalil,2,0,Built-up ,791,0
1055,1000000,2,1,Serviced Residence,Built-up : 926 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,926,0
1056,914160,2,2,Condominium (Corner),"Built-up : 1,033 sq. ft.",Partly Furnished,Wangsa Maju,2,0,Built-up ,1033,0
1057,720000,3,2,Condominium (Corner),"Built-up : 1,647 sq. ft.",Fully Furnished,Wangsa Maju,3,1,Built-up ,1647,0
1058,710000,3,2,Condominium (EndLot),"Built-up : 1,647 sq. ft.",Partly Furnished,Wangsa Maju,3,1,Built-up ,1647,0
1059,1779286,4,3,Townhouse (EndLot),"Built-up : 2,293 sq. ft.",Fully Furnished,Taman Melawati,3,1,Built-up ,2293,0
1060,480000,3,2,Condominium (Corner),"Built-up : 1,267 sq. ft.",Partly Furnished,Wangsa Maju,3,1,Built-up ,1267,0
1061,520000,3,2,Condominium,"Built-up : 1,267 sq. ft.",Fully Furnished,Wangsa Maju,3,1,Built-up ,1267,0
1062,5550000,5,4,Bungalow,Land area : 4650 sq. ft.,Partly Furnished,Bangsar,4,1,Land area ,4650,0
1063,1180000,4,3,Condominium (Corner),"Built-up : 1,967 sq. ft.",Unfurnished,Wangsa Maju,3,1,Built-up ,1967,0
1064,1050000,2,2,Condominium (Corner),"Built-up : 1,528 sq. ft.",Unfurnished,Wangsa Maju,3,0,Built-up ,1528,0
1065,1180000,4,3,Condominium (Corner),Land area : 1967 sq. ft.,Unfurnished,Wangsa Maju,3,1,Land area ,1967,0
