,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
9921,"Taman Melawati, Kuala Lumpur","RM 1,470,000",4+1,5.0,2.0,Semi-detached House (EndLot),Land area : 2400 sq. ft.,Partly Furnished
9922,"KLCC, Kuala Lumpur","RM 1,300,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 839 sq. ft.,Fully Furnished
9923,"Ampang Hilir, Kuala Lumpur","RM 4,100,000",4+1,5.0,6.0,Condominium (Corner),"Built-up : 3,628 sq. ft.",Unfurnished
9924,"KLCC, Kuala Lumpur","RM 2,880,000",4+1,4.0,1.0,Serviced Residence (Corner),"Built-up : 2,819 sq. ft.",Unfurnished
9925,"KLCC, Kuala Lumpur","RM 1,684,850",3+1,3.0,1.0,Condominium (Corner),"Built-up : 2,174 sq. ft.",Unfurnished
9926,"Ampang Hilir, Kuala Lumpur","RM 2,863,304",3+1,4.0,2.0,Condominium (Corner),"Built-up : 2,353 sq. ft.",Partly Furnished
9927,"KLCC, Kuala Lumpur","RM 2,500,000",2+1,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,190 sq. ft.",Fully Furnished
9928,"KL Sentral, Kuala Lumpur","RM 1,380,000",1+1,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,087 sq. ft.",Partly Furnished
9929,"Taman Desa, Kuala Lumpur","RM 550,000",2,2.0,1.0,Condominium (Intermediate),Built-up : 990 sq. ft.,Fully Furnished
9930,"Cheras, Kuala Lumpur","RM 1,290,000",3,2.0,1.0,Apartment (Corner),"Built-up : 1,222 sq. ft.",Fully Furnished
9931,"Ampang Hilir, Kuala Lumpur","RM 2,950,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 4,093 sq. ft.",Partly Furnished
9932,"KLCC, Kuala Lumpur","RM 3,600,000",5+2,6.0,3.0,Condominium (Duplex),"Built-up : 3,942 sq. ft.",Partly Furnished
9933,"Mont Kiara, Kuala Lumpur","RM 1,480,000",3+1,3.0,2.0,Condominium,"Built-up : 1,872 sq. ft.",Fully Furnished
9934,"Segambut, Kuala Lumpur","RM 875,000",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,300 sq. ft.",Partly Furnished
9935,"Bangsar, Kuala Lumpur","RM 5,000,000",4+1,6.0,4.0,Bungalow (Corner),Land area : 4600 sq. ft.,Partly Furnished
9936,"Cheras, Kuala Lumpur","RM 410,000",3,2.0,1.0,Apartment (Intermediate),"Built-up : 1,088 sq. ft.",Partly Furnished
9937,"Sri Hartamas, Kuala Lumpur","RM 4,860,000",6,6.0,4.0,Bungalow (Intermediate),Land area : 8231 sq. ft.,Partly Furnished
9938,"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 2,380,000",4+1,4.0,3.0,Condominium,"Built-up : 2,820 sq. ft.",Partly Furnished
9939,"Bukit Jalil, Kuala Lumpur","RM 480,000",3,2.0,1.0,Condominium (Corner),"Built-up : 1,250 sq. ft.",Unfurnished
9940,"Ampang Hilir, Kuala Lumpur","RM 1,000,000",5,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22 x 75 sq. ft.,Unfurnished
9941,"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 3,280,000",4,4.0,3.0,Condominium,"Built-up : 2,940 sq. ft.",Partly Furnished
9942,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,650,000",3+1,4.0,3.0,Semi-detached House (Intermediate),Land area : 3820 sq. ft.,Partly Furnished
9943,"OUG, Kuala Lumpur","RM 2,380,000",5+1,4.0,4.0,Bungalow (EndLot),Land area : 4455 sq. ft.,Partly Furnished
9944,"Kuchai Lama, Kuala Lumpur","RM 585,000",3,2.0,1.0,Condominium (Corner),"Built-up : 1,537 sq. ft.",Partly Furnished
9945,"Kuchai Lama, Kuala Lumpur","RM 430,000",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,097 sq. ft.",Partly Furnished
9946,"Bukit Jalil, Kuala Lumpur","RM 4,650,000",5,5.0,4.0,Bungalow (Corner),Land area : 5798 sq. ft.,Partly Furnished
9947,"Bukit Jalil, Kuala Lumpur","RM 638,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,404 sq. ft.",Partly Furnished
9948,"Bukit Jalil, Kuala Lumpur","RM 850,000",5,3.0,2.0,Condominium,"Built-up : 2,350 sq. ft.",Partly Furnished
9949,"Setapak, Kuala Lumpur","RM 300,000",3,2.0,1.0,Condominium,Built-up : 800 sq. ft.,Unfurnished
9950,"Kepong, Kuala Lumpur","RM 500,000",3,2.0,1.0,1-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Unfurnished
9951,"KLCC, Kuala Lumpur","RM 1,828,000",3,3.0,2.0,Condominium (Corner),"Built-up : 1,228 sq. ft.",Partly Furnished
9952,"Mont Kiara, Kuala Lumpur","RM 3,699,000",4+1,5.0,3.0,Condominium (Corner),"Built-up : 4,090 sq. ft.",Partly Furnished
9953,"KLCC, Kuala Lumpur","RM 2,112,000",3,3.0,2.0,Condominium (Corner),"Built-up : 1,502 sq. ft.",Fully Furnished
9954,"Bukit Jalil, Kuala Lumpur","RM 480,000",2,2.0,1.0,Apartment,"Built-up : 1,019 sq. ft.",Partly Furnished
9955,"Mont Kiara, Kuala Lumpur","RM 550,000",1+1,1.0,2.0,Serviced Residence (Corner),Built-up : 745 sq. ft.,Fully Furnished
9956,"KLCC, Kuala Lumpur","RM 800,000",2,2.0,1.0,Serviced Residence (Intermediate),Built-up : 873 sq. ft.,Partly Furnished
9957,"Damansara Heights, Kuala Lumpur","RM 7,500,000",5+2,5.0,4.0,Bungalow (Intermediate),Land area : 7700 sq. ft.,Partly Furnished
9958,"Sri Hartamas, Kuala Lumpur","RM 4,860,000",6,6.0,4.0,Bungalow (Intermediate),Land area : 8231 sq. ft.,Partly Furnished
9959,"Mont Kiara, Kuala Lumpur","RM 650,000",1,1.0,1.0,Serviced Residence (Studio),Built-up : 462 sq. ft.,Fully Furnished
9960,"KL Sentral, Kuala Lumpur","RM 2,298,000",Studio,2.0,1.0,Serviced Residence (Studio),Built-up : 766 sq. ft.,Partly Furnished
9961,"Bangsar, Kuala Lumpur","RM 12,000,000",6+1,7.0,4.0,Bungalow,Land area : 11500 sq. ft.,Partly Furnished
9962,"Bangsar, Kuala Lumpur","RM 7,200,000",4+2,6.0,3.0,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
9963,"Sri Hartamas, Kuala Lumpur","RM 3,500,000",5+1,6.0,4.0,Semi-detached House,Land area : 3700 sq. ft.,Partly Furnished
9964,"Sri Hartamas, Kuala Lumpur","RM 3,200,000",5,6.0,5.0,Semi-detached House,Land area : 2850 sq. ft.,Partly Furnished
9965,"Sri Hartamas, Kuala Lumpur","RM 6,500,000",6+1,7.0,6.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
9966,"Mont Kiara, Kuala Lumpur","RM 6,750,000",6,7.0,4.0,Bungalow,Land area : 7845sf sq. ft.,Partly Furnished
9967,"Sri Hartamas, Kuala Lumpur","RM 1,650,000",4,3.0,2.0,2-sty Terrace/Link House,Land area : 22x75 sq. ft.,Partly Furnished
9968,"Sri Hartamas, Kuala Lumpur","RM 2,000,000",5,4.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
9969,"Batu Caves, Kuala Lumpur","RM 565,000",3,2.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,125 sq. ft.",Unfurnished
9970,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,680,000",3+1,4.0,3.0,Condominium (Corner),"Built-up : 2,128 sq. ft.",Partly Furnished
9971,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 299,000",2,2.0,1.0,Condominium (Intermediate),Built-up : 750 sq. ft.,Fully Furnished
9972,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 600,000",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,350 sq. ft.",Partly Furnished
9973,"Sri Petaling, Kuala Lumpur","RM 420,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 935 sq. ft.,Partly Furnished
9974,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 560,000",3,3.0,1.0,Condominium (Intermediate),"Built-up : 1,356 sq. ft.",Partly Furnished
9975,"Setapak, Kuala Lumpur","RM 620,000",3+1,2.0,2.0,Condominium,"Built-up : 1,633 sq. ft.",Partly Furnished
9976,"Taman Tun Dr Ismail, Kuala Lumpur","RM 809,000",2,2.0,1.0,Serviced Residence,Built-up : 876 sq. ft.,Partly Furnished
9977,"Bukit Jalil, Kuala Lumpur","RM 1,099,999",2+1,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,254 sq. ft.",Partly Furnished
9978,"Taman Desa, Kuala Lumpur","RM 599,999",3,2.0,1.0,Serviced Residence (EndLot),Built-up : 945 sq. ft.,Unfurnished
9979,"Desa Petaling, Kuala Lumpur","RM 240,000",3,2.0,1.0,Condominium (Intermediate),Built-up : 900 sq. ft.,Partly Furnished
9980,"KLCC, Kuala Lumpur","RM 1,150,000",3,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,259 sq. ft.",Fully Furnished
9981,"Mont Kiara, Kuala Lumpur","RM 1,890,000",5+1,7.0,5.0,3-sty Terrace/Link House (Intermediate),Land area : 24x93 sq. ft.,Unfurnished
9982,"Kepong, Kuala Lumpur","RM 1,890,000",5+1,7.0,5.0,3-sty Terrace/Link House (Intermediate),Land area : 24x93 sq. ft.,Unfurnished
9983,"Bangsar, Kuala Lumpur","RM 4,900,000",4,3.0,6.0,Bungalow,Land area : 6580 sq. ft.,Partly Furnished
9984,"Segambut, Kuala Lumpur","RM 658,000",3,2.0,2.0,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
9985,"Mont Kiara, Kuala Lumpur","RM 1,700,000",4+1,3.0,2.0,2-sty Terrace/Link House,Land area : 42x77 sq. ft.,Partly Furnished
9986,"KLCC, Kuala Lumpur","RM 2,100,000",2+1,2.0,1.0,Condominium,Built-up : 980 sq. ft.,Fully Furnished
9987,"KLCC, Kuala Lumpur","RM 3,570,000",3+1,3.0,1.0,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
9988,"Cheras, Kuala Lumpur","RM 760,000",4,3.0,4.0,2-sty Terrace/Link House (Corner),Land area : 42x65 sq. ft.,Partly Furnished
9989,"Cheras, Kuala Lumpur","RM 395,000",2,2.0,1.0,Condominium (Corner),Land area : 1072 sq. ft.,Partly Furnished
9990,"Cheras, Kuala Lumpur","RM 599,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 20x60 sq. ft.,Unfurnished
9991,"Cheras, Kuala Lumpur","RM 833,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
9992,"KLCC, Kuala Lumpur","RM 2,767,888",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,502 sq. ft.",Fully Furnished
9993,"Bandar Menjalara, Kuala Lumpur","RM 333,000",3,2.0,1.0,Serviced Residence,Built-up : 981 sq. ft.,Partly Furnished
9994,"Sentul, Kuala Lumpur","RM 650,000",3+1,2.0,2.0,Condominium,"Built-up : 1,355 sq. ft.",Partly Furnished
9995,"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 1,700,000",3+1,4.0,2.0,Apartment (Duplex),"Built-up : 2,710 sq. ft.",Partly Furnished
9996,"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,000,000",3+1,2.0,4.0,1-sty Terrace/Link House (Corner),Land area : 5735 sq. ft.,Partly Furnished
9997,"KLCC, Kuala Lumpur","RM 2,278,888",2,2.0,2.0,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished
9998,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 600,000",2,2.0,1.0,Serviced Residence,Built-up : 785 sq. ft.,Unfurnished
9999,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 580,000",3+1,3.0,2.0,Condominium,"Built-up : 1,208 sq. ft.",Partly Furnished
10000,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 670,000",3+1,3.0,2.0,Condominium,"Built-up : 1,208 sq. ft.",Fully Furnished
10001,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 630,000",3+1,3.0,2.0,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
10002,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 660,000",4,3.0,2.0,Condominium,"Built-up : 1,440 sq. ft.",Partly Furnished
10003,"Mont Kiara, Kuala Lumpur","RM 1,150,000",3,3.0,2.0,Condominium,"Built-up : 2,100 sq. ft.",Fully Furnished
10004,"Mont Kiara, Kuala Lumpur","RM 1,200,000",4,4.0,2.0,Condominium,"Built-up : 2,800 sq. ft.",Fully Furnished
10005,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,168 sq. ft.",Partly Furnished
10006,"Bukit Jalil, Kuala Lumpur","RM 1,100,000",4+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
10007,"Bukit Jalil, Kuala Lumpur","RM 1,180,000",5+1,4.0,4.0,Condominium (Intermediate),"Built-up : 1,930 sq. ft.",Partly Furnished
10008,"Bukit Jalil, Kuala Lumpur","RM 1,180,000",4+1,4.0,4.0,Condominium (Intermediate),"Built-up : 1,772 sq. ft.",Partly Furnished
10009,"Bukit Jalil, Kuala Lumpur","RM 930,000",4+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
10010,"Bukit Jalil, Kuala Lumpur","RM 950,000",4+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
10011,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 570,000",3,2.0,1.0,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
10012,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 660,000",4,3.0,2.0,Condominium,"Built-up : 1,440 sq. ft.",Partly Furnished
10013,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",2,2.0,1.0,Serviced Residence,Built-up : 785 sq. ft.,Unfurnished
10014,"Kuchai Lama, Kuala Lumpur","RM 450,000",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 935 sq. ft.,Unfurnished
10015,"Kuchai Lama, Kuala Lumpur","RM 610,000",3,2.0,2.0,Condominium (Intermediate),Built-up : 986 sq. ft.,Partly Furnished
10016,"Kuchai Lama, Kuala Lumpur","RM 570,000",3,2.0,2.0,Condominium (Intermediate),Built-up : 986 sq. ft.,Partly Furnished
10017,"Taman Desa, Kuala Lumpur","RM 2,600,000",4+2,3.0,3.0,Semi-detached House (Corner),Land area : 3000 sq. ft.,Partly Furnished
10018,"Bandar Menjalara, Kuala Lumpur","RM 370,000",3,2.0,1.0,Serviced Residence,Built-up : 927 sq. ft.,Partly Furnished
10019,"Bandar Menjalara, Kuala Lumpur","RM 350,000",3,2.0,1.0,Serviced Residence,Built-up : 900 sq. ft.,Partly Furnished
10020,"Sri Petaling, Kuala Lumpur","RM 2,000,000",5+1,5.0,4.0,Semi-detached House (Corner),Land area : 2834 sq. ft.,Partly Furnished
10021,"Setiawangsa, Kuala Lumpur","RM 588,000",3,2.0,2.0,Condominium,Land area : 6 acres,Partly Furnished
10022,"KLCC, Kuala Lumpur","RM 1,495,888",1,1.0,1.0,Condominium (Intermediate),Built-up : 630 sq. ft.,Fully Furnished
10023,"Sri Petaling, Kuala Lumpur","RM 1,300,000",4,4.0,2.0,2-sty Terrace/Link House,Land area : 1650 sq. ft.,Partly Furnished
10024,"Setiawangsa, Kuala Lumpur","RM 588,000",3,2.0,2.0,Condominium,Land area : 6 acres,Partly Furnished
10025,"Setiawangsa, Kuala Lumpur","RM 780,000",4,3.0,3.0,Condominium (Corner),"Built-up : 1,491 sq. ft.",Partly Furnished
10026,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,370,000",3+1,4.0,3.0,Condominium (Corner),"Built-up : 2,638 sq. ft.",Partly Furnished
10027,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,250,000",3+2,4.0,3.0,Condominium (Intermediate),"Built-up : 2,128 sq. ft.",Unfurnished
10028,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,680,000",3+2,4.0,3.0,Condominium (Corner),"Built-up : 2,128 sq. ft.",Unfurnished
10029,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,400,000",3+2,4.0,3.0,Condominium (Corner),"Built-up : 2,128 sq. ft.",Partly Furnished
10030,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 950,000",2+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,523 sq. ft.",Partly Furnished
10031,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,590,000",3+1,4.0,4.0,Condominium (Corner),"Built-up : 2,638 sq. ft.",Unfurnished
10032,"Dutamas, Kuala Lumpur","RM 488,000",3,2.0,1.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
10033,"Dutamas, Kuala Lumpur","RM 599,000",3,2.0,2.0,Condominium,"Built-up : 1,100 sq. ft.",Fully Furnished
10034,"Dutamas, Kuala Lumpur","RM 530,000",3,2.0,1.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
10035,"Dutamas, Kuala Lumpur","RM 518,000",3,2.0,2.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
10036,"Dutamas, Kuala Lumpur","RM 568,000",3,2.0,1.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
10037,"Dutamas, Kuala Lumpur","RM 560,000",3,2.0,1.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
10038,"Cheras, Kuala Lumpur","RM 335,000",3,2.0,1.0,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
10039,"Bukit Jalil, Kuala Lumpur","RM 1,100,000",3,2.0,2.0,Serviced Residence,"Built-up : 1,170 sq. ft.",Partly Furnished
10040,"Bukit Jalil, Kuala Lumpur","RM 648,000",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,200 sq. ft.",Partly Furnished
10041,"Jalan Kuching, Kuala Lumpur","RM 500,000",3,2.0,1.0,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
10042,"Jalan Kuching, Kuala Lumpur","RM 520,000",3,2.0,1.0,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
10043,"Jalan Kuching, Kuala Lumpur","RM 550,000",3,2.0,1.0,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
10044,"Jalan Kuching, Kuala Lumpur","RM 560,000",3,2.0,1.0,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
10045,"Cheras, Kuala Lumpur","RM 790,000",5,3.0,2.0,2-sty Terrace/Link House (Intermediate),"Built-up : 1,892 sq. ft.",Partly Furnished
10046,"Batu Caves, Kuala Lumpur","RM 578,000",2,2.0,1.0,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
10047,"Batu Caves, Kuala Lumpur","RM 579,888",2,2.0,1.0,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
10048,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,438,000",3+2,4.0,3.0,Condominium (Corner),"Built-up : 2,378 sq. ft.",Partly Furnished
10049,"Bandar Menjalara, Kuala Lumpur","RM 530,000",3+1,2.0,2.0,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
10050,"Bandar Menjalara, Kuala Lumpur","RM 410,000",3,2.0,1.0,Condominium,Built-up : 982 sq. ft.,Fully Furnished
10051,"Mont Kiara, Kuala Lumpur","RM 880,000",3,2.0,1.0,Condominium,"Built-up : 1,390 sq. ft.",Partly Furnished
10052,"Mont Kiara, Kuala Lumpur","RM 948,000",3,2.0,1.0,Condominium,"Built-up : 1,390 sq. ft.",Partly Furnished
10053,"Mont Kiara, Kuala Lumpur","RM 720,000",3,2.0,1.0,Condominium,"Built-up : 1,290 sq. ft.",Partly Furnished
10054,"Mont Kiara, Kuala Lumpur","RM 888,000",3,2.0,1.0,Condominium,"Built-up : 1,390 sq. ft.",Partly Furnished
10055,"Mont Kiara, Kuala Lumpur","RM 561,000",3,2.0,2.0,Condominium,"Built-up : 1,130 sq. ft.",Partly Furnished
10056,"Mont Kiara, Kuala Lumpur","RM 880,000",3,2.0,1.0,Condominium,"Built-up : 1,208 sq. ft.",Partly Furnished
10057,"Mont Kiara, Kuala Lumpur","RM 880,000",3,2.0,1.0,Condominium,"Built-up : 1,208 sq. ft.",Partly Furnished
10058,"Mont Kiara, Kuala Lumpur","RM 898,000",3,2.0,1.0,Condominium,"Built-up : 1,280 sq. ft.",Partly Furnished
10059,"Mont Kiara, Kuala Lumpur","RM 1,700,000",3+1,4.0,3.0,Condominium,"Built-up : 2,648 sq. ft.",Partly Furnished
10060,"Mont Kiara, Kuala Lumpur","RM 658,000",2,2.0,1.0,Condominium,"Built-up : 1,048 sq. ft.",Fully Furnished
10061,"Mont Kiara, Kuala Lumpur","RM 819,000",3,2.0,1.0,Condominium,"Built-up : 1,241 sq. ft.",Partly Furnished
10062,"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,5.0,2.0,Condominium,"Built-up : 3,200 sq. ft.",Partly Furnished
10063,"Mont Kiara, Kuala Lumpur","RM 848,000",3,2.0,1.0,Condominium,"Built-up : 1,226 sq. ft.",Partly Furnished
10064,"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,3.0,2.0,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
10065,"Mont Kiara, Kuala Lumpur","RM 570,000",1,1.0,1.0,Condominium,Built-up : 750 sq. ft.,Partly Furnished
10066,"Mont Kiara, Kuala Lumpur","RM 780,000",3,2.0,1.0,Condominium,"Built-up : 1,268 sq. ft.",Partly Furnished
10067,"Mont Kiara, Kuala Lumpur","RM 630,000",3,2.0,1.0,Condominium,"Built-up : 1,280 sq. ft.",Partly Furnished
10068,"Mont Kiara, Kuala Lumpur","RM 595,000",3,2.0,2.0,Condominium,"Built-up : 1,230 sq. ft.",Partly Furnished
10069,"Mont Kiara, Kuala Lumpur","RM 770,000",3+1,3.0,2.0,Condominium,"Built-up : 1,268 sq. ft.",Fully Furnished
10070,"Mont Kiara, Kuala Lumpur","RM 710,000",3+1,3.0,2.0,Condominium,"Built-up : 1,268 sq. ft.",Fully Furnished
10071,"Kepong, Kuala Lumpur","RM 720,000",5,2.0,6.0,1.5-sty Terrace/Link House,Land area : 22x95 sq. ft.,Partly Furnished
10072,"Mont Kiara, Kuala Lumpur","RM 840,000",3+1,3.0,1.0,Serviced Residence,"Built-up : 1,428 sq. ft.",Fully Furnished
10073,"Mont Kiara, Kuala Lumpur","RM 748,000",3,2.0,1.0,Serviced Residence,"Built-up : 1,088 sq. ft.",Partly Furnished
10074,"Mont Kiara, Kuala Lumpur","RM 680,000",3,2.0,1.0,Condominium,"Built-up : 1,250 sq. ft.",Fully Furnished
10075,"Mont Kiara, Kuala Lumpur","RM 700,000",3,2.0,1.0,Condominium,"Built-up : 1,250 sq. ft.",Partly Furnished
10076,"KLCC, Kuala Lumpur","RM 2,900,000",2+1,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,668 sq. ft.",Unfurnished
10077,"Mont Kiara, Kuala Lumpur","RM 720,000",3,2.0,1.0,Condominium,"Built-up : 1,399 sq. ft.",Partly Furnished
10078,"Mont Kiara, Kuala Lumpur","RM 610,000",2,2.0,1.0,Condominium,Built-up : 931 sq. ft.,Fully Furnished
10079,"Mont Kiara, Kuala Lumpur","RM 678,000",3,2.0,2.0,Condominium,"Built-up : 1,049 sq. ft.",Partly Furnished
10080,"Mont Kiara, Kuala Lumpur","RM 638,000",3,2.0,2.0,Condominium,"Built-up : 1,055 sq. ft.",Partly Furnished
10081,"Mont Kiara, Kuala Lumpur","RM 680,000",2+1,2.0,2.0,Condominium,"Built-up : 1,178 sq. ft.",Partly Furnished
10082,"Ampang Hilir, Kuala Lumpur","RM 6,800,000",5+1,6.0,4.0,Condominium,"Built-up : 9,258 sq. ft.",Partly Furnished
10083,"Ampang Hilir, Kuala Lumpur","RM 4,300,000",4+1,5.0,4.0,Condominium,"Built-up : 6,682 sq. ft.",Partly Furnished
10084,"Ampang Hilir, Kuala Lumpur","RM 3,800,000",3+1,4.0,2.0,Condominium,"Built-up : 3,485 sq. ft.",Partly Furnished
10085,"Sentul, Kuala Lumpur","RM 560,000",3,2.0,3.0,Condominium (Corner),Land area : 1081 sq. ft.,Fully Furnished
10086,"Mont Kiara, Kuala Lumpur","RM 2,500,000",4,5.0,2.0,4-sty Terrace/Link House (Corner),"Built-up : 3,800 sq. ft.",Fully Furnished
10087,"Mont Kiara, Kuala Lumpur","RM 850,000",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,246 sq. ft.",Fully Furnished
10088,"Sri Hartamas, Kuala Lumpur","RM 2,200,000",3+1,5.0,2.0,Condominium,"Built-up : 2,573 sq. ft.",Fully Furnished
10089,"Sri Hartamas, Kuala Lumpur","RM 3,400,000",4+1,6.0,3.0,Condominium,"Built-up : 4,000 sq. ft.",Fully Furnished
10090,"Sri Hartamas, Kuala Lumpur","RM 2,980,000",5+1,7.0,3.0,Condominium,"Built-up : 4,000 sq. ft.",Fully Furnished
10091,"Sri Hartamas, Kuala Lumpur","RM 3,140,000",4+1,5.0,3.0,Condominium,"Built-up : 3,466 sq. ft.",Fully Furnished
10092,"Mont Kiara, Kuala Lumpur","RM 950,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,386 sq. ft.",Partly Furnished
10093,"Mont Kiara, Kuala Lumpur","RM 950,000",4,3.0,2.0,Condominium,"Built-up : 1,550 sq. ft.",Partly Furnished
10094,"Mont Kiara, Kuala Lumpur","RM 2,500,000",4,4.0,2.0,Condominium,"Built-up : 3,564 sq. ft.",Partly Furnished
10095,"Mont Kiara, Kuala Lumpur","RM 1,250,000",4,3.0,2.0,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
10096,"Mont Kiara, Kuala Lumpur","RM 1,200,000",4,3.0,2.0,Condominium,"Built-up : 1,556 sq. ft.",Fully Furnished
10097,"City Centre, Kuala Lumpur","RM 1,230,000",1,1.0,1.0,Serviced Residence,"Built-up : 1,131 sq. ft.",Fully Furnished
10098,"Segambut, Kuala Lumpur","RM 930,000",3,2.0,2.0,Condominium,"Built-up : 1,319 sq. ft.",Partly Furnished
10099,"Segambut, Kuala Lumpur","RM 1,250,000",3+1,4.0,2.0,Condominium,"Built-up : 1,788 sq. ft.",Partly Furnished
10100,"Segambut, Kuala Lumpur","RM 1,400,000",3+1,4.0,2.0,Condominium,"Built-up : 1,788 sq. ft.",Partly Furnished
10101,"Bukit Bintang, Kuala Lumpur","RM 3,500,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,013 sq. ft.",Fully Furnished
10102,"KLCC, Kuala Lumpur","RM 3,500,000",3,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,786 sq. ft.",Fully Furnished
10103,"KLCC, Kuala Lumpur","RM 2,152,000",1+1,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Unfurnished
10104,"Mont Kiara, Kuala Lumpur","RM 1,290,000",3+1,4.0,2.0,Condominium,"Built-up : 2,002 sq. ft.",Fully Furnished
10105,"Pantai, Kuala Lumpur","RM 4,200,000",4+1,5.0,2.0,Semi-detached House,Land area : 6000 sq. ft.,Unfurnished
